zip,exante_share_baseline,exante_share_alt2,exante_share_alt1
8054,.037223142,.031683568,.026490502
8055,.021319779,.016841011,.015138989
8057,.022185341,.016202241,.01409761
8059,.041823927,.032295186,.031677648
8060,.033016942,.027383346,.026050469
8062,.024923164,.01667887,.013244383
8065,.046417918,.036327284,.034312796
8066,.031859107,.023882044,.025827434
8068,.026798313,.023431204,.021823142
8069,.029400842,.024219315,.022474626
8070,.029936252,.025637915,.025275938
8071,.031324569,.025544474,.02233883
8075,.028473562,.027008358,.025735294
8077,.024178734,.020508561,.019328509
8078,.035202697,.02857074,.023889577
8079,.023703851,.021683166,.022757897
8080,.027327348,.021536011,.018765133
8081,.040170223,.032621589,.026917439
8083,.029431796,.025454618,.023384975
8084,.03009402,.022528723,.020433437
8085,.034736969,.026544156,.022721427
8086,.024455052,.026212739,.022966672
8087,.040857263,.03161319,.023909321
8088,.023104539,.019032268,.017676627
8090,.028194506,.026010368,.022765599
8091,.03569318,.027993126,.026086956
8093,.034367189,.02781268,.026427703
8094,.031938706,.026073376,.02398761
8096,.032652989,.028952785,.028091755
8098,.023514424,.020974196,.022464486
8103,.022374397,.017006963,.015327525
8104,.020010481,.016551463,.01667135
8105,.020818479,.018082125,.016717006
8106,.02959808,.026309613,.023765737
8107,.036216453,.029563991,.026122356
8108,.036016241,.027528917,.023374382
8109,.037665814,.030615568,.025501968
8110,.039567903,.033103365,.032583136
8201,.038527373,.027049361,.022110419
8203,.032564688,.019834148,.017110266
8205,.034377094,.033180788,.02535346
8215,.033629276,.025716513,.024144424
8221,.020191379,.01889042,.018128078
8225,.034092508,.027230047,.024025537
8232,.038855027,.032795101,.029198326
8234,.037544299,.031030355,.027212553
8244,.029204138,.021633759,.021124901
8312,.034236867,.03116809,.029706866
8318,.0244013,.021193266,.019305907
8322,.030380206,.024631992,.022046816
8330,.045557693,.035288282,.031462025
8343,.022290774,.021544699,.017797889
8344,.029690931,.024705764,.023815369
8401,.018349824,.016538085,.014746666
8402,.024836088,.020797502,.01921845
8406,.036540564,.026611432,.019076841
8501,.024377,.016904199,.015778251
8502,.024555171,.014383673,.010270271
8505,.041190967,.029240947,.022641817
8512,.018398074,.015362872,.014915435
8518,.033623468,.027011352,.030412527
8520,.041132413,.031158866,.025619309
8525,.028599296,.01835278,.015331212
8527,.033998273,.023545805,.018987171
8530,.028237129,.02116143,.01381979
8533,.026645515,.018755034,.016806724
8534,.027835179,.021231391,.016473731
8540,.02857198,.022362472,.018025896
8550,.0229779,.016340159,.014706964
8551,.018986201,.014427121,.011927946
8554,.038954016,.034379978,.030577576
8558,.017982859,.011352005,.010045663
8559,.023762755,.016997168,.016206995
8560,.019710924,.015057483,.014424951
8609,.024999421,.020158995,.018627755
8610,.038275924,.030781243,.02930293
8611,.032873549,.026176836,.023381138
8618,.032025378,.023870399,.022201028
8619,.034262769,.026603524,.023334801
8620,.02730996,.020642852,.016617905
8628,.0316053,.025047097,.023026315
8629,.043726943,.036406092,.031443086
8638,.034448471,.02570322,.023503326
8648,.035991415,.028050423,.023639498
8690,.025936387,.021947861,.021480868
8691,.042203575,.029862402,.024433672
8701,.029834665,.020815987,.016743461
8721,.04289395,.029281953,.023962678
8722,.040036555,.029619902,.028191704
8723,.035646725,.025871923,.023010885
8724,.037135541,.029417951,.025923308
8730,.0225491,.015343815,.012289225
8731,.036271162,.030031592,.024886714
8734,.032877024,.023947341,.019102374
8735,.033641174,.022449672,.016813787
8736,.021111574,.016168611,.015255962
8738,.024680067,.018351138,.014864865
8741,.031220742,.024721967,.022024121
8742,.031075111,.021806901,.018488929
8750,.0185808,.014252696,.015509601
8751,.017564738,.018059045,.015710918
8752,.022764208,.019061914,.015267176
8753,.03321756,.024763316,.021002235
8755,.031276539,.023847312,.01875508
8757,.03703431,.030960966,.02587853
8758,.045093015,.031701822,.023591343
8759,.03518638,.026995182,.025488988
8801,.030966768,.02022117,.017008048
8802,.027794268,.018062839,.017947849
8805,.029772826,.024230529,.01928553
8807,.032698106,.023449786,.020417633
8809,.04264605,.029424779,.025689056
8812,.034712154,.027053963,.024031756
8822,.029202545,.020355489,.017005842
8823,.066452637,.051381484,.040692236
8825,.026203074,.018813126,.018105399
8826,.039034583,.023672115,.017638037
8827,.025216551,.018305978,.016579675
8829,.044605423,.031055592,.027798934
8833,.017591532,.015104956,.016902769
8835,.026405945,.027557613,.022711536
8836,.021100927,.014055376,.012323944
8844,.038548063,.024570275,.019599603
8848,.025919085,.019591855,.01609928
8865,.033076987,.027205897,.022296544
8867,.018823998,.013549517,.010620458
8869,.027495928,.022618938,.018697755
8873,.03808349,.027852103,.02167394
8876,.025579812,.022262743,.021554841
8886,.047275115,.028722361,.019226661
8889,.022628946,.017943829,.014130596
10001,.028891912,.017399766,.017152209
10002,.010121137,.0084708473,.0073835547
10003,.02329259,.01995687,.018262038
10005,.025724914,.018015631,.018207284
10007,.038816534,.023034321,.020495495
10009,.014283926,.010498677,.0084247086
10010,.021845888,.020285036,.019823462
10011,.026219759,.022000257,.018897774
10012,.019101357,.015335662,.015605154
10013,.018496303,.013907091,.013176878
10014,.023030527,.02030907,.017501641
10016,.027137091,.021259122,.019947318
10017,.025685193,.0205631,.017674783
10019,.020741353,.016721796,.014169085
10021,.024123684,.019695116,.017269757
10022,.030512922,.022955092,.020942409
10023,.027463485,.020529142,.019143876
10024,.023491798,.018086659,.01600674
10025,.017606458,.014459982,.014840977
10026,.011984479,.011808018,.010014382
10027,.0095087076,.0084016938,.0083366027
10028,.019973461,.015990369,.01538607
10029,.010059438,.0075575919,.0059025432
10030,.0077645155,.0075686895,.0060863825
10031,.0062949751,.0067675179,.0097072925
10032,.0050401054,.0050213579,.0046994742
10033,.0084844138,.007342366,.0062629464
10034,.0086520687,.0078908261,.0065949983
10035,.006134877,.0088925315,.0059029032
10036,.016381824,.013383676,.014258415
10038,.021852246,.015732424,.019214952
10040,.0093922261,.0080048833,.0075983051
10069,.045302302,.026670698,.020545518
10128,.019726813,.017704386,.018015455
10301,.024577867,.018400114,.015308963
10302,.026088562,.023127517,.017870439
10303,.045040999,.031216724,.023361405
10304,.026189165,.021321544,.017447827
10305,.038641516,.026492193,.0198652
10306,.02935007,.023236239,.019242415
10307,.027901029,.01981847,.014953715
10308,.028047597,.022831554,.020154702
10309,.029338636,.024145504,.019021191
10310,.02746273,.021863492,.016196806
10312,.030705888,.022774195,.018474892
10314,.027232062,.023482183,.019781468
10456,.0054583,.0054228669,.0045303977
10458,.0063532982,.0055278842,.0044614049
10460,.0096120369,.0072578662,.0052565257
10461,.018985998,.015238531,.01363082
10462,.014205172,.012754142,.010886647
10463,.020351535,.017204102,.016337831
10465,.02315573,.020825762,.018386569
10466,.021872761,.016911289,.015157213
10467,.012931976,.010717248,.0087391539
10468,.0079023922,.0065905196,.0047200439
